MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.950000e-03,   -2.549079e-03,    2.488723e-03,    1.635008e-03,    1.117229e-04,   -6.517649e-04,    7.757472e-04,    3.479614e-05,    4.226499e-04,    5.986176e-01,   -2.035464e-01,    1.732669e+00,    6.445765e+00,    3.390722e-01,   -8.524438e-01,    1.458410e+00,   -7.242754e-01,   -2.469900e-03,    2.461800e-03,    1.749600e-03,    5.380200e-04,   -6.293400e-04,    7.193700e-04,    2.277000e-04,    3.268500e-04,    1.322700e-04,    1.322700e-04,    6.613600e-05,    6.613600e-05,    6.613600e-05,    6.613600e-05,    1.322700e-04,    1.322700e-04,
         2,    1.950000e-03,    3.136862e-04,   -1.647365e-04,    1.145391e-03,   -7.799217e-04,   -6.055899e-05,    1.585416e-03,    1.449835e-03,   -1.383569e-03,    1.151584e+00,   -9.688482e-01,    3.491106e-01,    2.961266e+00,    4.300359e+00,    2.624455e+00,    2.778019e+00,   -2.584346e+00,    4.898900e-04,   -3.129800e-04,    1.172100e-03,   -5.533700e-04,    2.684400e-04,    1.786200e-03,    1.874900e-03,   -1.779000e-03,    1.530100e-04,    1.530100e-04,    7.650500e-05,    7.650500e-05,    7.650500e-05,    7.650500e-05,    1.530100e-04,    1.530100e-04,
         3,    1.950000e-03,   -4.110294e-05,   -1.284611e-04,    6.611344e-04,   -4.537987e-04,   -9.425719e-04,    9.290551e-04,   -1.053733e-04,    4.295257e-04,    1.009992e+00,   -2.103549e-01,    5.566918e-02,    6.274153e-01,   -1.008463e+00,   -1.207277e+00,   -1.343150e+00,    4.850723e-01,    6.178500e-05,   -1.498900e-04,    6.639700e-04,   -4.218400e-04,   -9.939400e-04,    8.675600e-04,   -2.422000e-04,    4.789400e-04,    1.018700e-04,    1.018700e-04,    5.093700e-05,    5.093700e-05,    5.093700e-05,    5.093700e-05,    1.018700e-04,    1.018700e-04,
         4,    1.950000e-03,   -7.724178e-05,   -2.110194e-04,    1.180812e-03,   -1.147332e-03,   -4.101080e-03,    3.534870e-03,    1.395407e-03,    1.425636e-03,    6.717417e-01,   -6.250890e-01,    6.499329e-01,    2.671935e-02,    6.677683e-01,   -2.767677e-01,   -6.831890e-01,    1.992724e+00,    1.255100e-04,   -3.996900e-04,    1.278900e-03,   -1.143300e-03,   -4.000300e-03,    3.493100e-03,    1.189200e-03,    2.027100e-03,    3.018300e-04,    3.018300e-04,    1.509200e-04,    1.509200e-04,    1.509200e-04,    1.509200e-04,    3.018300e-04,    3.018300e-04,
         5,    1.950000e-03,    5.976099e-04,   -1.178547e-03,    5.212157e-03,   -3.324914e-03,   -2.808215e-03,    3.824738e-03,   -6.974616e-03,    4.535622e-03,   -4.539963e-01,    1.971525e-01,   -5.966296e-01,    6.207762e-01,   -9.567062e-02,    1.883166e-01,    8.042598e-02,    1.163836e+00,    3.547900e-04,   -1.073100e-03,    5.052600e-03,   -3.158900e-03,   -2.833800e-03,    3.875100e-03,   -6.931600e-03,    5.158100e-03,    5.348500e-04,    5.348500e-04,    2.674300e-04,    2.674300e-04,    2.674300e-04,    2.674300e-04,    5.348500e-04,    5.348500e-04,
         6,    1.950000e-03,    3.854162e-04,   -5.434695e-04,    2.813048e-03,   -2.732012e-03,   -5.018929e-03,    4.208501e-03,    2.411073e-04,    2.451221e-03,   -8.464412e-01,    7.798417e-01,   -1.244475e+00,    5.066730e-01,    4.733259e-01,    1.724470e-01,    4.189499e-01,    3.698464e+00,   -2.493000e-05,   -1.654100e-04,    2.511400e-03,   -2.609200e-03,   -4.904200e-03,    4.250300e-03,    4.442100e-04,    4.244200e-03,    4.847900e-04,    4.847900e-04,    2.423900e-04,    2.423900e-04,    2.423900e-04,    2.423900e-04,    4.847900e-04,    4.847900e-04,
         7,    1.950000e-03,    2.681348e-04,   -2.864560e-03,    2.056721e-02,   -1.318161e-02,   -1.454161e-03,    3.520243e-03,   -1.356754e-02,    8.918293e-03,    1.289595e-01,   -9.462538e-01,   -1.650352e-01,   -8.702232e-01,    1.864595e-01,   -2.784244e-01,    2.685672e-01,    3.383829e-03,    3.903600e-04,   -3.761400e-03,    2.048900e-02,   -1.359400e-02,   -1.365800e-03,    3.388300e-03,   -1.331300e-02,    8.921500e-03,    9.477800e-04,    9.477800e-04,    4.738900e-04,    4.738900e-04,    4.738900e-04,    4.738900e-04,    9.477800e-04,    9.477800e-04,
         8,    1.950000e-03,    4.458921e-04,   -3.992492e-04,    5.391239e-04,   -6.606975e-04,   -7.171585e-04,    6.336929e-04,   -4.426549e-05,    3.436446e-04,   -3.113399e-01,   -2.766251e-01,   -1.265493e+00,   -1.568239e+00,   -1.492042e-02,   -1.730169e-01,    3.256288e-01,    1.817056e+00,    4.174500e-04,   -4.245200e-04,    4.813200e-04,   -7.323300e-04,   -7.178400e-04,    6.257900e-04,   -1.451800e-05,    5.096400e-04,    9.135400e-05,    9.135400e-05,    4.567700e-05,    4.567700e-05,    4.567700e-05,    4.567700e-05,    9.135400e-05,    9.135400e-05,
         9,    1.950000e-03,   -7.526576e-05,   -1.112201e-04,    6.203497e-03,   -4.760731e-03,   -2.286250e-03,    2.439716e-03,   -3.451122e-03,    3.493938e-03,   -1.623260e+00,   -1.666933e-01,    1.238960e+00,    1.732564e+00,    1.431243e+00,    2.880709e-01,    2.309161e-01,    1.143831e+00,   -8.831300e-04,   -1.941800e-04,    6.511800e-03,   -4.329600e-03,   -1.930100e-03,    2.511400e-03,   -3.336200e-03,    4.063200e-03,    4.976800e-04,    4.976800e-04,    2.488400e-04,    2.488400e-04,    2.488400e-04,    2.488400e-04,    4.976800e-04,    4.976800e-04,
        10,    1.950000e-03,    1.008445e-05,   -6.468166e-05,    4.171913e-04,   -4.494632e-04,   -1.471789e-03,    1.482102e-03,   -1.630622e-04,    2.405835e-04,    2.353039e-01,   -2.247150e-02,    3.740261e-01,   -5.455391e-02,   -4.572644e-01,    1.366048e+00,   -9.122527e-02,   -2.091702e+00,    3.757500e-05,   -6.730700e-05,    4.390400e-04,   -4.526500e-04,   -1.498500e-03,    1.561900e-03,   -1.737200e-04,   -3.790000e-06,    1.168300e-04,    1.168300e-04,    5.841500e-05,    5.841500e-05,    5.841500e-05,    5.841500e-05,    1.168300e-04,    1.168300e-04,
