MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    7.300000e-04,   -1.495449e-03,    1.591751e-03,    1.792356e-03,   -2.375926e-04,   -3.571917e-04,    4.803857e-04,    2.056221e-04,    1.743830e-04,    4.022894e-01,   -9.424443e-01,    3.658492e+00,   -9.863578e-02,   -3.991904e-01,   -9.710619e-01,    1.959516e+00,   -9.465285e-01,   -1.452400e-03,    1.490900e-03,    1.988100e-03,   -2.428700e-04,   -3.785500e-04,    4.284300e-04,    4.153100e-04,    7.309500e-05,    1.070100e-04,    1.070100e-04,    5.350400e-05,    5.350400e-05,    5.350400e-05,    5.350400e-05,    1.070100e-04,    1.070100e-04,
         2,    7.300000e-04,    1.223127e-04,   -2.327672e-04,    8.421782e-04,   -5.474362e-04,   -4.018411e-05,    4.649003e-04,    9.471385e-04,   -8.115632e-04,    1.674624e+00,   -1.320059e+00,    2.930925e+00,    3.970632e+00,    9.459143e+00,    4.912380e-02,   -7.489773e-01,   -4.901890e+00,    2.504700e-04,   -3.337900e-04,    9.543300e-04,   -3.955000e-04,    3.217700e-04,    4.667800e-04,    8.898200e-04,   -1.186700e-03,    7.652900e-05,    7.652900e-05,    3.826500e-05,    3.826500e-05,    3.826500e-05,    3.826500e-05,    7.652900e-05,    7.652900e-05,
         3,    7.300000e-04,   -8.921921e-05,   -4.907307e-05,    4.342114e-04,   -3.347781e-04,   -4.713877e-04,    6.069610e-04,    2.009486e-04,    2.434086e-04,    8.315137e-01,   -7.118468e-01,    5.246330e-01,    8.991733e-01,   -2.531455e+00,   -2.238637e-01,   -5.531210e-01,    1.019857e+00,   -3.371900e-05,   -9.658600e-05,    4.517200e-04,   -3.047700e-04,   -5.558700e-04,    5.994900e-04,    1.640300e-04,    3.114800e-04,    6.674600e-05,    6.674600e-05,    3.337300e-05,    3.337300e-05,    3.337300e-05,    3.337300e-05,    6.674600e-05,    6.674600e-05,
         4,    7.300000e-04,   -1.344221e-04,   -7.818235e-05,    7.206215e-04,   -7.253646e-04,   -2.283977e-03,    2.429054e-03,    2.119238e-03,    3.466078e-04,    5.003741e-01,   -7.423295e-01,    2.309666e-01,   -2.652447e-01,   -2.275520e-01,   -1.699935e+00,    1.175788e+00,    1.702415e+00,   -4.196300e-05,   -2.153500e-04,    7.419600e-04,   -7.498700e-04,   -2.305000e-03,    2.272000e-03,    2.336500e-03,    6.611800e-04,    1.847800e-04,    1.847800e-04,    9.238800e-05,    9.238800e-05,    9.238800e-05,    9.238800e-05,    1.847800e-04,    1.847800e-04,
         5,    7.300000e-04,   -1.359791e-04,   -7.127792e-04,    3.007565e-03,   -2.731308e-03,   -8.082031e-04,    2.328026e-03,   -3.613934e-03,    3.791243e-03,    1.798055e-01,    4.010513e-01,    1.236037e-02,    9.467153e-01,   -9.249885e-01,   -3.023060e-01,    7.605690e-01,    3.837648e-01,   -7.968200e-05,   -5.872100e-04,    3.009500e-03,   -2.583100e-03,   -9.530100e-04,    2.280700e-03,   -3.375800e-03,    3.911400e-03,    3.131000e-04,    3.131000e-04,    1.565500e-04,    1.565500e-04,    1.565500e-04,    1.565500e-04,    3.131000e-04,    3.131000e-04,
         6,    7.300000e-04,    8.460781e-05,   -3.848921e-04,    1.516598e-03,   -1.828902e-03,   -2.806661e-03,    3.020680e-03,    1.482437e-03,    1.150795e-03,   -4.252291e-01,    1.081908e+00,   -2.270730e-01,    1.092198e+00,    1.092277e-01,   -1.765884e+00,    1.307660e+00,    1.051992e+00,   -4.122600e-05,   -6.473400e-05,    1.483000e-03,   -1.667300e-03,   -2.790500e-03,    2.759400e-03,    1.869400e-03,    1.462100e-03,    2.959200e-04,    2.959200e-04,    1.479600e-04,    1.479600e-04,    1.479600e-04,    1.479600e-04,    2.959200e-04,    2.959200e-04,
         7,    7.300000e-04,   -1.435685e-03,   -1.548764e-03,    1.211489e-02,   -1.069926e-02,    3.415303e-04,    1.962457e-03,   -7.666874e-03,    7.202485e-03,    8.950696e-01,   -2.756370e-01,   -2.504372e-01,   -1.071491e+00,   -1.143081e+00,   -3.884723e-01,    1.597325e-01,   -2.228284e-01,   -9.432800e-04,   -1.700400e-03,    1.204600e-02,   -1.099400e-02,    2.710300e-05,    1.855600e-03,   -7.579000e-03,    7.079900e-03,    5.501300e-04,    5.501300e-04,    2.750700e-04,    2.750700e-04,    2.750700e-04,    2.750700e-04,    5.501300e-04,    5.501300e-04,
         8,    7.300000e-04,    2.114256e-04,   -2.891024e-04,    1.981154e-04,   -4.262572e-04,   -3.913591e-04,    4.434458e-04,    1.691659e-04,    1.888968e-04,    3.329713e-01,    5.132597e-01,   -1.323022e+00,    6.442329e-01,   -7.082578e-01,   -1.565854e+00,    5.269828e-01,    4.170614e-01,    2.282100e-04,   -2.632300e-04,    1.647700e-04,   -4.100200e-04,   -4.092100e-04,    4.039800e-04,    1.957300e-04,    2.099200e-04,    5.040800e-05,    5.040800e-05,    2.520400e-05,    2.520400e-05,    2.520400e-05,    2.520400e-05,    5.040800e-05,    5.040800e-05,
         9,    7.300000e-04,   -2.325151e-04,   -1.805120e-04,    3.668246e-03,   -3.536271e-03,   -1.131849e-03,    1.637144e-03,   -1.438361e-03,    2.418716e-03,   -1.933276e+00,    8.474883e-01,    3.355477e+00,    4.827241e-01,    1.243129e+00,   -9.868228e-01,    3.811534e-01,    1.983551e-01,   -8.298200e-04,    8.132800e-05,    4.186600e-03,   -3.461700e-03,   -9.398100e-04,    1.484700e-03,   -1.320600e-03,    2.480000e-03,    3.089600e-04,    3.089600e-04,    1.544800e-04,    1.544800e-04,    1.544800e-04,    1.544800e-04,    3.089600e-04,    3.089600e-04,
        10,    7.300000e-04,   -2.122874e-05,   -2.837125e-05,    2.530813e-04,   -2.695915e-04,   -8.106296e-04,    1.000310e-03,    5.689317e-05,    1.378673e-04,   -7.477131e-04,   -2.613780e-01,    2.886276e-02,   -3.979878e-01,    1.318269e+00,    8.667306e-01,   -1.963290e+00,    3.065598e-02,   -2.128100e-05,   -4.664000e-05,    2.540900e-04,   -2.835000e-04,   -7.645600e-04,    1.030600e-03,   -8.032900e-05,    1.400100e-04,    6.989400e-05,    6.989400e-05,    3.494700e-05,    3.494700e-05,    3.494700e-05,    3.494700e-05,    6.989400e-05,    6.989400e-05,
