MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    4.900000e-04,   -1.176529e-03,    1.298219e-03,    1.691449e-03,   -4.029965e-04,   -2.642882e-04,    3.852893e-04,    2.199730e-04,    9.222161e-05,   -1.109909e-01,   -4.109597e-01,    2.494565e+00,   -2.284240e+00,   -6.331938e-01,   -1.539010e+00,    9.690772e-01,   -1.940754e+00,   -1.186500e-03,    1.261300e-03,    1.803500e-03,   -5.056000e-04,   -2.927300e-04,    3.161600e-04,    3.070300e-04,   -8.212600e-05,    8.983500e-05,    8.983500e-05,    4.491800e-05,    4.491800e-05,    4.491800e-05,    4.491800e-05,    8.983500e-05,    8.983500e-05,
         2,    4.900000e-04,    3.814053e-05,   -2.154905e-04,    7.281769e-04,   -4.917676e-04,   -9.873180e-05,    2.728570e-04,    8.141291e-04,   -6.714074e-04,    1.859505e+00,   -2.031028e+00,    6.144574e+00,    4.146382e+00,    9.239644e+00,   -2.337316e+00,   -3.598442e+00,   -5.251888e+00,    1.337600e-04,   -3.199300e-04,    8.861600e-04,   -3.851600e-04,    1.858400e-04,    2.008700e-04,    6.290900e-04,   -9.414700e-04,    5.142200e-05,    5.142200e-05,    2.571100e-05,    2.571100e-05,    3.079900e-05,    3.079900e-05,    5.142200e-05,    5.142200e-05,
         3,    4.900000e-04,   -9.135882e-05,   -2.314014e-05,    3.606614e-04,   -2.923643e-04,   -3.499554e-04,    4.813159e-04,    2.444180e-04,    1.402040e-04,    6.087347e-01,   -9.038516e-01,    1.035413e+00,    6.424574e-01,   -1.997284e+00,    8.555930e-01,   -4.066167e-01,    7.311480e-01,   -5.754300e-05,   -7.335000e-05,    3.894200e-04,   -2.745200e-04,   -4.054300e-04,    5.050800e-04,    2.218300e-04,    1.808200e-04,    5.555100e-05,    5.555100e-05,    2.777500e-05,    2.777500e-05,    2.777500e-05,    2.777500e-05,    5.555100e-05,    5.555100e-05,
         4,    4.900000e-04,   -1.369018e-04,   -3.905358e-05,    5.852553e-04,   -6.004573e-04,   -1.766069e-03,    1.988574e-03,    2.063448e-03,   -8.686763e-05,    3.836392e-01,   -7.496087e-01,    6.525909e-02,   -2.244823e-01,   -7.525776e-01,   -1.339649e+00,    1.373091e+00,    5.445046e-01,   -7.947100e-05,   -1.512700e-04,    5.901400e-04,   -6.172600e-04,   -1.822400e-03,    1.888300e-03,    2.269000e-03,   -5.355300e-06,    1.497000e-04,    1.497000e-04,    7.485100e-05,    7.485100e-05,    7.485100e-05,    7.485100e-05,    1.497000e-04,    1.497000e-04,
         5,    4.900000e-04,   -2.681829e-04,   -4.819042e-04,    2.329030e-03,   -2.349356e-03,   -3.805190e-04,    1.719696e-03,   -2.653016e-03,    3.181493e-03,    3.883165e-01,    1.776327e-01,    7.816086e-01,    1.296954e+00,   -1.296998e+00,   -2.140891e-02,    3.077075e-01,   -4.181330e-01,   -1.740200e-04,   -4.388300e-04,    2.423800e-03,   -2.192100e-03,   -5.377800e-04,    1.717100e-03,   -2.578400e-03,    3.080100e-03,    2.424900e-04,    2.424900e-04,    1.212500e-04,    1.212500e-04,    1.212500e-04,    1.212500e-04,    2.424900e-04,    2.424900e-04,
         6,    4.900000e-04,   -5.879051e-06,   -3.002744e-04,    1.140434e-03,   -1.487857e-03,   -2.124198e-03,    2.502966e-03,    1.624751e-03,    5.679190e-04,   -7.269707e-01,    9.228191e-01,    5.385187e-01,    1.441646e+00,   -5.448730e-01,   -3.844798e+00,    1.566137e+00,   -2.899101e-01,   -1.742600e-04,   -8.653100e-05,    1.202800e-03,   -1.320900e-03,   -2.187300e-03,    2.057700e-03,    1.987500e-03,    5.007700e-04,    2.316200e-04,    2.316200e-04,    1.158100e-04,    1.158100e-04,    1.158100e-04,    1.158100e-04,    2.316200e-04,    2.316200e-04,
         7,    4.900000e-04,   -1.681338e-03,   -9.183467e-04,    9.479307e-03,   -9.245988e-03,    6.592941e-04,    1.326867e-03,   -5.895680e-03,    6.148456e-03,    3.010326e+00,   -1.820470e+00,    2.383342e-02,    1.172896e+00,   -1.741415e+00,    4.408074e-01,    9.391957e-02,   -1.059011e+00,   -9.296900e-04,   -1.372900e-03,    9.484600e-03,   -8.985500e-03,    2.803100e-04,    1.422800e-03,   -5.854800e-03,    5.687500e-03,    2.496900e-04,    2.496900e-04,    2.220900e-04,    2.220900e-04,    2.176300e-04,    2.176300e-04,    4.352700e-04,    4.352700e-04,
         8,    4.900000e-04,    1.449204e-04,   -2.332740e-04,    1.129835e-04,   -3.239393e-04,   -2.942995e-04,    3.629523e-04,    2.015130e-04,    1.053628e-04,    1.030974e-01,    2.937157e-01,   -8.060567e-01,    1.760594e+00,   -1.441465e+00,   -1.876920e+00,    3.044513e-01,   -5.579292e-01,    1.487900e-04,   -2.222500e-04,    9.785700e-05,   -2.909000e-04,   -3.213500e-04,    3.277300e-04,    2.129400e-04,    8.442200e-05,    3.753300e-05,    3.753300e-05,    1.876600e-05,    1.876600e-05,    1.876600e-05,    1.876600e-05,    3.753300e-05,    3.753300e-05,
         9,    4.900000e-04,   -3.064469e-04,   -1.453047e-04,    2.854732e-03,   -3.008425e-03,   -7.855009e-04,    1.319077e-03,   -9.084927e-04,    1.894875e-03,   -2.187523e+00,    2.247544e+00,    3.070819e+00,   -1.642953e+00,    3.760622e-01,   -3.889017e-01,    9.696921e-01,    5.243146e-01,   -6.607600e-04,    2.187300e-04,    3.319900e-03,   -3.257300e-03,   -7.241200e-04,    1.255600e-03,   -7.802800e-04,    1.964200e-03,    1.619700e-04,    1.619700e-04,    1.514800e-04,    1.514800e-04,    1.632200e-04,    1.632200e-04,    1.322200e-04,    1.322200e-04,
        10,    4.900000e-04,   -2.330198e-05,   -1.633315e-05,    2.077689e-04,   -2.186472e-04,   -5.986515e-04,    8.264468e-04,    7.561043e-05,    7.160074e-05,   -2.754422e-01,   -2.646205e-01,   -3.407465e-01,   -3.448551e-01,    8.482338e-01,    4.584620e-01,   -1.390208e+00,    1.090142e+00,   -3.857800e-05,   -3.100900e-05,    1.983200e-04,   -2.282100e-04,   -5.751300e-04,    8.391600e-04,   -1.490500e-06,    1.320600e-04,    5.546000e-05,    5.546000e-05,    2.773000e-05,    2.773000e-05,    2.773000e-05,    2.773000e-05,    5.546000e-05,    5.546000e-05,
