MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         2,    3.125000e-02,    5.914962e-04,    4.348136e-04,    2.967814e-03,   -3.362393e-03,   -5.853652e-03,    1.622658e-02,    5.326074e-03,   -4.058723e-03,    4.144641e-01,    4.895443e-01,   -6.183940e-01,    3.669608e+00,   -2.279639e+00,    3.667821e+00,    1.722295e+00,   -2.677906e-01,    9.614800e-04,    8.718200e-04,    2.691800e-03,   -1.724500e-03,   -9.968400e-03,    2.284700e-02,    1.161400e-02,   -5.036400e-03,    8.926800e-04,    8.926800e-04,    4.463400e-04,    4.463400e-04,    1.805000e-03,    1.805000e-03,    3.650900e-03,    3.650900e-03,
         3,    3.125000e-02,    4.624966e-04,   -6.331449e-05,    1.646036e-03,   -1.632848e-03,   -3.389628e-03,    2.372166e-03,   -6.884557e-04,   -1.151323e-04,   -7.398609e-01,    1.815157e+00,    2.034390e-01,    1.323516e+00,   -1.435620e+00,    2.385412e+00,    1.707504e+00,   -1.892684e+00,    2.285600e-04,    5.106200e-04,    1.678200e-03,   -1.423600e-03,   -3.616600e-03,    2.749300e-03,   -1.485600e-04,   -7.135800e-04,    3.161900e-04,    3.161900e-04,    1.581000e-04,    1.581000e-04,    1.581000e-04,    1.581000e-04,    3.161900e-04,    3.161900e-04,
         4,    3.125000e-02,    8.560912e-04,   -6.753234e-04,    4.376702e-03,   -5.011849e-03,   -1.195939e-02,    1.006731e-02,   -1.732180e-03,    2.049924e-03,    4.633894e-01,   -4.482616e-01,   -2.323936e+00,    7.211225e-01,    5.260022e-01,    3.098906e+00,   -1.966413e-02,   -2.026633e-01,    1.304300e-03,   -1.108900e-03,    3.252800e-03,   -4.663100e-03,   -1.170500e-02,    1.156600e-02,   -1.751200e-03,    1.853900e-03,    9.672400e-04,    9.672400e-04,    4.836200e-04,    4.836200e-04,    4.836200e-04,    4.836200e-04,    9.672400e-04,    9.672400e-04,
         5,    3.125000e-02,    3.210278e-03,   -8.354447e-04,    1.050342e-02,   -4.110476e-03,   -1.232294e-02,    7.429724e-03,   -1.295892e-02,    1.110635e-03,   -1.319310e-01,   -1.927610e-01,   -5.074857e-01,   -6.322114e-02,    2.285436e+00,   -4.861530e-01,    1.121043e+00,    2.742061e-01,    3.052000e-03,   -1.066700e-03,    1.019900e-02,   -4.148400e-03,   -1.095200e-02,    7.138100e-03,   -1.161400e-02,    1.439600e-03,    1.199700e-03,    1.199700e-03,    5.998600e-04,    5.998600e-04,    5.998600e-04,    5.998600e-04,    1.199700e-03,    1.199700e-03,
         6,    3.125000e-02,    1.502728e-03,   -2.043112e-03,    8.713161e-03,   -1.161433e-02,   -1.240340e-02,    1.404817e-02,   -5.419922e-03,    1.018901e-02,   -5.237275e-01,    1.012783e+00,   -2.679507e-01,   -2.992818e+00,   -1.236798e+00,   -5.929897e-01,   -1.515594e+00,    1.564496e+00,    5.697600e-04,   -2.389400e-04,    8.474500e-03,   -1.428000e-02,   -1.350500e-02,    1.352000e-02,   -8.119800e-03,    1.297600e-02,    1.781400e-03,    1.781400e-03,    8.906900e-04,    8.906900e-04,    8.906900e-04,    8.906900e-04,    1.781400e-03,    1.781400e-03,
         7,    3.125000e-02,    7.510931e-03,   -3.771127e-03,    4.357071e-02,   -1.704265e-02,   -1.034880e-02,    8.847012e-03,   -2.843819e-02,    8.621102e-03,    1.326386e+00,   -1.373908e+00,   -9.459972e-01,   -6.983902e-01,    1.743620e-01,   -9.945505e-01,    9.252631e-01,    4.611362e-02,    1.071800e-02,   -7.093100e-03,    4.242700e-02,   -1.788700e-02,   -1.013800e-02,    7.644600e-03,   -2.620100e-02,    8.732600e-03,    2.417900e-03,    2.417900e-03,    1.209000e-03,    1.209000e-03,    1.209000e-03,    1.209000e-03,    2.417900e-03,    2.417900e-03,
         8,    3.125000e-02,    1.457125e-03,   -5.423606e-04,    2.248500e-03,   -2.374501e-03,   -2.186064e-03,    2.078890e-03,   -1.019461e-03,    6.949126e-04,    1.488530e+00,   -2.005212e+00,    1.808925e+00,    1.296175e+00,   -1.500625e+00,   -8.429466e-01,   -1.012287e+00,    5.967390e-01,    1.936700e-03,   -1.188400e-03,    2.539900e-03,   -2.165700e-03,   -2.427800e-03,    1.943100e-03,   -1.345600e-03,    8.871700e-04,    3.221800e-04,    3.221800e-04,    1.610900e-04,    1.610900e-04,    1.610900e-04,    1.610900e-04,    3.221800e-04,    3.221800e-04,
         9,    3.125000e-02,    8.174168e-05,   -8.950764e-04,    1.579513e-02,   -1.530956e-02,   -7.266811e-03,    1.067894e-02,   -1.040751e-02,    8.720526e-03,    4.263020e-01,   -4.157658e-01,   -2.428353e+00,   -1.207960e+00,   -4.369639e-01,   -6.078795e-01,   -3.667789e-01,    1.980143e+00,    7.843300e-04,   -1.580300e-03,    1.379400e-02,   -1.630500e-02,   -7.626900e-03,    1.017800e-02,   -1.101200e-02,    1.198400e-02,    1.648100e-03,    1.648100e-03,    8.240700e-04,    8.240700e-04,    8.240700e-04,    8.240700e-04,    1.648100e-03,    1.648100e-03,
        10,    3.125000e-02,    1.978480e-04,   -1.462997e-04,    1.777530e-03,   -2.448863e-03,   -6.193764e-03,    5.670345e-03,   -4.298762e-04,    2.580219e-04,    3.019431e-01,    1.025667e+00,   -6.774456e-01,    1.157076e+00,   -4.337982e-01,    1.221473e+00,   -1.747037e-01,    1.536081e+00,    3.440700e-04,    3.504000e-04,    1.613500e-03,   -2.168700e-03,   -6.298800e-03,    5.966100e-03,   -5.144800e-04,    1.001900e-03,    4.842700e-04,    4.842700e-04,    2.421300e-04,    2.421300e-04,    2.421300e-04,    2.421300e-04,    4.842700e-04,    4.842700e-04,
        11,    3.125000e-02,   -3.525503e-03,    2.226496e-03,    3.649344e-03,   -5.140982e-03,   -7.207143e-03,    6.087363e-03,    8.475292e-05,   -7.897134e-04,   -8.383407e-01,    5.146596e-01,   -2.034356e+00,    7.394285e-01,   -4.787817e-01,    2.260067e-01,   -1.270753e+00,   -1.551393e+00,   -4.144500e-03,    2.606500e-03,    2.898300e-03,   -4.868000e-03,   -7.383900e-03,    6.170800e-03,   -8.535200e-04,   -1.935200e-03,    7.383600e-04,    7.383600e-04,    3.691800e-04,    3.691800e-04,    3.691800e-04,    3.691800e-04,    7.383600e-04,    7.383600e-04,
