161.227 -162.528 4.105
161.225 -160.718 4.189
161.222 -158.908 4.248
161.220 -157.099 4.144
161.217 -155.289 3.833
161.215 -153.479 3.396
161.213 -151.670 2.851
161.211 -149.860 2.707
161.209 -148.050 3.079
161.208 -146.240 3.725
161.206 -144.431 4.087
161.204 -142.621 4.079
161.203 -140.811 4.034
161.202 -139.002 3.889
161.201 -137.192 3.620
161.200 -135.382 3.652
161.199 -133.573 3.705
161.198 -131.763 3.809
161.197 -129.953 3.917
161.197 -128.144 3.919
161.196 -126.334 3.866
161.196 -124.524 3.810
161.196 -122.715 3.781
161.195 -120.905 3.769
161.195 -119.095 3.757
161.196 -117.285 3.756
161.196 -115.476 3.735
161.196 -113.666 3.714
161.197 -111.856 3.694
161.197 -110.047 3.670
161.198 -108.237 3.656
161.199 -106.427 3.620
161.200 -104.618 3.561
161.201 -102.808 3.506
161.202 -100.998 3.459
161.203 -99.189 3.415
161.204 -97.379 3.377
161.206 -95.569 3.355
161.208 -93.760 3.302
161.209 -91.950 3.239
161.211 -90.140 3.007
161.213 -88.330 2.527
161.215 -86.521 2.456
161.217 -84.711 2.944
161.220 -82.901 2.995
161.222 -81.092 2.996
161.225 -79.282 2.885
161.227 -77.472 2.767
161.230 -75.663 2.662
161.233 -73.853 2.607
161.236 -72.043 2.538
161.239 -70.233 2.470
161.242 -68.424 2.325
161.246 -66.614 2.243
161.249 -64.804 2.194
161.253 -62.994 2.217
161.256 -61.185 2.230
161.260 -59.375 2.124
161.264 -57.565 2.035
161.268 -55.755 1.948
161.272 -53.946 1.891
161.277 -52.136 1.861
161.281 -50.326 1.840
161.286 -48.516 1.784
161.290 -46.706 1.881
161.295 -44.897 1.906
161.300 -43.087 1.970
161.305 -41.277 1.976
161.310 -39.467 1.963
161.315 -37.657 1.886
161.320 -35.848 1.822
161.326 -34.038 1.733
161.331 -32.228 1.749
161.337 -30.418 1.970
161.343 -28.608 2.193
161.349 -26.798 2.362
161.355 -24.988 2.523
161.361 -23.179 2.617
161.367 -21.369 2.697
161.373 -19.559 2.741
161.380 -17.749 2.769
161.386 -15.939 2.804
161.393 -14.129 2.841
161.400 -12.319 2.887
161.407 -10.509 2.942
161.414 -8.699 3.151
161.421 -6.889 3.197
161.428 -5.079 3.173
161.436 -3.269 3.123
161.443 -1.460 3.129
161.451 0.350 3.280
161.459 2.160 3.384
161.466 3.970 3.613
161.474 5.780 3.842
161.483 7.590 3.916
161.491 9.401 3.988
161.499 11.211 4.051
161.508 13.021 4.076
161.516 14.831 4.066
161.525 16.641 4.082
161.534 18.451 4.106
161.542 20.261 4.106
161.551 22.071 4.083
161.561 23.881 4.067
161.570 25.691 3.982
161.579 27.501 3.829
161.589 29.312 3.811
161.598 31.122 3.714
161.608 32.932 3.531
161.618 34.742 3.436
161.628 36.552 3.233
161.638 38.362 2.979
161.648 40.173 2.668
161.658 41.983 2.598
161.669 43.793 2.809
161.679 45.603 3.071
161.690 47.414 3.107
161.700 49.224 3.138
161.711 51.034 3.303
161.722 52.845 3.533
161.733 54.655 3.699
161.745 56.465 3.700
161.756 58.276 3.623
161.767 60.086 3.558
161.779 61.896 3.667
161.791 63.707 3.657
161.802 65.517 3.528
161.814 67.328 3.619
161.826 69.138 3.680
161.839 70.948 3.766
161.851 72.759 3.731
161.863 74.569 3.855
161.876 76.380 3.923
161.888 78.190 3.884
161.901 80.001 3.675
161.914 81.811 3.615
161.927 83.622 3.564
161.940 85.433 3.523
161.953 87.243 3.492
161.966 89.054 3.436
161.980 90.864 3.344
161.993 92.675 3.312
162.007 94.486 3.211
162.021 96.296 3.064
162.034 98.107 2.998
162.048 99.918 3.102
162.063 101.728 3.194
162.077 103.539 3.140
162.091 105.350 3.155
162.106 107.161 3.135
162.120 108.971 3.108
162.135 110.782 3.152
162.150 112.593 3.160
162.165 114.404 3.226
162.180 116.215 3.219
162.195 118.026 3.143
162.210 119.836 3.112
162.225 121.647 3.076
162.241 123.458 3.014
162.256 125.269 3.057
162.272 127.080 3.174
162.288 128.891 3.230
162.304 130.702 3.239
162.320 132.513 3.224
162.336 134.324 3.168
162.353 136.135 3.058
162.369 137.946 2.970
162.386 139.758 3.001
162.402 141.569 3.094
162.419 143.380 3.171
162.436 145.191 3.176
162.453 147.002 3.133
162.470 148.813 3.064
162.487 150.625 2.943
162.505 152.436 2.903
162.522 154.247 2.925
162.540 156.058 2.931
162.557 157.870 3.031
162.575 159.681 3.191
162.593 161.492 3.415
162.611 163.304 3.568
162.629 165.115 3.622
162.648 166.927 3.578
159.384 -162.531 4.074
159.382 -160.721 3.983
159.379 -158.911 4.108
159.377 -157.101 4.111
159.374 -155.291 3.901
159.372 -153.481 3.505
159.370 -151.672 3.089
159.368 -149.862 3.037
