15
60.000  -20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
30.000  -20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
0.000  -20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
-30.000  -20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
-60.000  -20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
60.000  0.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
30.000  0.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
0.000  0.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
-30.000  0.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
-60.000  0.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
60.000  20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
30.000  20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
0.000  20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
-30.000  20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
-60.000  20.000  3  1.000 0.500 5.000 1.000 50.000 15.000 
